// Log of inequalities that have been verified by interval arithmetic.
QED, ineq(9922699028), secs(5), svn(1969,57), Thu Sep  9 05:42:27 ICT 2010
QED, ineq(3318775219), secs(13), svn(1969,57), Thu Sep  9 05:42:44 ICT 2010
QED, ineq(8248508703), secs(501), svn(1969,57), Thu Sep  9 05:51:07 ICT 2010
QED, ineq(6988401556), secs(45), svn(1969,57), Thu Sep  9 05:51:55 ICT 2010
QED, ineq(9995621667), secs(5), svn(1969,57), Thu Sep  9 05:52:03 ICT 2010
QED, ineq(9414951439), secs(3), svn(1969,57), Thu Sep  9 05:52:08 ICT 2010
QED, ineq(3020140039), secs(1), svn(1969,57), Thu Sep  9 05:52:12 ICT 2010
QED, ineq(5957966880), secs(20), svn(1969,57), Thu Sep  9 05:52:35 ICT 2010
QED, ineq(3526497018), secs(13), svn(1969,57), Thu Sep  9 05:52:51 ICT 2010
QED, ineq(4047599236), secs(18), svn(1969,57), Thu Sep  9 05:53:12 ICT 2010
QED, ineq(7726998381), secs(80), svn(1969,57), Thu Sep  9 05:54:35 ICT 2010
QED, ineq(7394240696), secs(111), svn(1969,57), Thu Sep  9 05:56:29 ICT 2010
QED, ineq(1395142356), secs(378), svn(1969,57), Thu Sep  9 06:02:51 ICT 2010
QED, ineq(4667071578), secs(60), svn(1969,57), Thu Sep  9 06:03:55 ICT 2010
QED, ineq(8519146937), secs(70), svn(1969,57), Thu Sep  9 06:05:08 ICT 2010
QED, ineq(3296257235), secs(82), svn(1969,57), Thu Sep  9 06:06:33 ICT 2010
QED, ineq(5490182221), secs(3), svn(1969,57), Thu Sep  9 06:06:39 ICT 2010
QED, ineq(5735387903), secs(5), svn(1969,57), Thu Sep  9 06:06:47 ICT 2010
QED, ineq(4652969746 2), secs(35), svn(1969,57), Thu Sep  9 06:07:25 ICT 2010
QED, ineq(4652969746 1), secs(42), svn(1969,57), Thu Sep  9 06:08:11 ICT 2010
QED, ineq(1965189142 34), secs(0), svn(1969,57), Thu Sep  9 06:26:41 ICT 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1969,57), Thu Sep  9 06:27:16 ICT 2010
QED, ineq(1965189142 34), secs(0), svn(1969,57), Tue Sep 14 18:31:41 JST 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1969,57), Tue Sep 14 18:32:07 JST 2010
QED, ineq(1550635295), secs(0), svn(1969,57), Tue Sep 14 18:32:37 JST 2010
QED, ineq(1550635295), secs(0), svn(1969,57), Tue Sep 14 18:33:17 JST 2010
QED, ineq(1965189142 34), secs(0), svn(1969,57), Tue Sep 14 18:36:21 JST 2010
QED, ineq(ZTGIJCF0), secs(0), svn(1969,57), Tue Sep 14 18:36:25 JST 2010
QED, ineq(1550635295), secs(0), svn(1969,57), Tue Sep 14 18:36:30 JST 2010
QED, ineq(2563100177), secs(11), svn(1969,57), Tue Sep 14 18:36:45 JST 2010
QED, ineq(4652969746 2), secs(29), svn(1969,57), Tue Sep 14 18:37:17 JST 2010
QED, ineq(5735387903), secs(4), svn(1969,57), Tue Sep 14 18:37:24 JST 2010
QED, ineq(4047599236), secs(14), svn(1969,57), Tue Sep 14 18:37:42 JST 2010
QED, ineq(7726998381), secs(66), svn(1969,57), Tue Sep 14 18:38:51 JST 2010
QED, ineq(7394240696), secs(92), svn(1969,57), Tue Sep 14 18:40:27 JST 2010
QED, ineq(7718591733), secs(5), svn(1969,57), Tue Sep 14 18:40:35 JST 2010
QED, ineq(1085358243), secs(19), svn(1969,57), Tue Sep 14 18:40:56 JST 2010
QED, ineq(8611785756), secs(34), svn(1969,57), Tue Sep 14 18:41:35 JST 2010
QED, ineq(OXLZLEZ 6346351218 4 45), secs(0), svn(1969,57), Mon Sep 20 05:56:38 EDT 2010
QED, ineq(OXLZLEZ 6346351218 4 45), secs(0), svn(1969,57), Mon Sep 20 05:57:56 EDT 2010
QED, ineq(OXLZLEZ 6346351218 4 45), secs(0), svn(1969,57), Mon Sep 20 06:07:08 EDT 2010
QED, ineq(OXLZLEZ 6346351218 4 45), secs(0), svn(1969,57), Mon Sep 20 06:15:11 EDT 2010
QED, ineq(OXLZLEZ 6346351218 4 45), secs(0), svn(1969,57), Mon Sep 20 06:15:44 EDT 2010
QED, ineq(OXLZLEZ 6346351218 4 45), secs(0), svn(1969,57), Mon Sep 20 07:11:37 EDT 2010
QED, ineq(OXLZLEZ 6346351218 4 45), secs(0), svn(1969,57), Mon Sep 20 07:12:08 EDT 2010
