// 2012.  Started with the new version of nonlinear ineq prover.
QED, ineq(OXLZLEZ 6346351218 0 44), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:05:03 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 43), secs(19),  cells(12152), svn(2866:2868M,130), Tue Jun  5 22:05:31 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 43), secs(4),  cells(2254), svn(2866:2868M,130), Tue Jun  5 22:05:43 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 43), secs(20),  cells(12152), svn(2866:2868M,130), Tue Jun  5 22:06:11 ICT 2012
QED, ineq(OXLZLEZ 6346351218 1 43), secs(3),  cells(1598), svn(2866:2868M,130), Tue Jun  5 22:06:22 ICT 2012
QED, ineq(OXLZLEZ 6346351218 0 43), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:06:26 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 42), secs(4),  cells(2534), svn(2866:2868M,130), Tue Jun  5 22:06:37 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 42), secs(23),  cells(15128), svn(2866:2868M,130), Tue Jun  5 22:07:08 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 42), secs(3),  cells(2436), svn(2866:2868M,130), Tue Jun  5 22:07:20 ICT 2012
QED, ineq(OXLZLEZ 6346351218 1 42), secs(17),  cells(10350), svn(2866:2868M,130), Tue Jun  5 22:07:46 ICT 2012
QED, ineq(OXLZLEZ 6346351218 0 42), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:07:49 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 41), secs(4),  cells(2334), svn(2866:2868M,130), Tue Jun  5 22:08:01 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 41), secs(28),  cells(17782), svn(2866:2868M,130), Tue Jun  5 22:08:37 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 41), secs(6),  cells(4140), svn(2866:2868M,130), Tue Jun  5 22:08:51 ICT 2012
QED, ineq(OXLZLEZ 6346351218 1 41), secs(26),  cells(15700), svn(2866:2868M,130), Tue Jun  5 22:09:25 ICT 2012
QED, ineq(OXLZLEZ 6346351218 0 41), secs(0),  cells(1), svn(2866:2868M,130), Tue Jun  5 22:09:28 ICT 2012
QED, ineq(OXLZLEZ 6346351218 4 40), secs(19),  cells(12236), svn(2866:2868M,130), Tue Jun  5 22:09:55 ICT 2012
QED, ineq(OXLZLEZ 6346351218 3 40), secs(7),  cells(4598), svn(2866:2868M,130), Tue Jun  5 22:10:10 ICT 2012
QED, ineq(OXLZLEZ 6346351218 2 40), secs(38),  cells(24488), svn(2866:2868M,130), Tue Jun  5 22:10:56 ICT 2012
